interaction_id,duration_sec,outcome,escalated_flag,resolved_flag,friction_level,next_steps,ai_memo_text,timestamp,customer_id,rep_id,subreason,aht_sec,aht_min,profanity_count,repeat_7d_flag,repeat_30d_flag,fcr_7d_flag,fcr_30d_flag,trust_score,profanity,subreason_std,outcome_std,friction_level_filled,ticket_flag_filled,resolved_flag_filled,repeat_7d_flag_filled,repeat_30d_flag_filled,trust_score_filled,ticket_flag
NW-20251014-0000840,357,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2025-10-14T00:58:28] Interaction NW-20251014-0000840 | Cust=C0000001 | Rep=REP00137 | Reason=Coverage / Service Availability | Signals(tone=frustrated, friction=0.35). Customer reports service degradation: dropped calls, delayed texts, and slow data at home/work. Customer notes issue has been ongoing and is frustrating. Service not confirmed restored; troubleshooting completed; customer advised to monitor. Actions: Collected timestamps + locations for pattern documentation.; Guided device network refresh (restart/airplane mode).; Checked for known outages/maintenance impacting the customer area.; Reviewed device settings impacting calling/messaging (VoLTE, Wi-Fi calling).. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2025-10-14T00:58:28,C0000001,REP00137,Availability,357,5.95,0,0,0,1,1,67.0,0,Coverage / Service Availability,Pending-Monitor,0.3621886831901772,0,0,1,0,54.622240005128305,0
NW-20251015-0005494,482,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2025-10-15T14:36:35] Interaction NW-20251015-0005494 | Cust=C0000004 | Rep=REP00196 | Reason=Billing Dispute | Signals(tone=frustrated, friction=0.35). Customer questions a higher-than-expected bill and requests charge breakdown. Customer notes issue has been ongoing and is frustrating. Billing adjustment not confirmed final; customer advised to monitor next cycle/statement. Actions: Reviewed bill line items and service charges.; Explained proration/plan change timing if applicable.; Applied billing correction workflow where eligible.. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2025-10-15T14:36:35,C0000004,REP00196,Billing,482,8.03,0,0,0,1,1,67.0,0,Billing Dispute,Pending-Monitor,0.3811116774171579,0,0,0,1,51.13817707488276,0
NW-20251019-0007634,885,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2025-10-19T22:45:44] Interaction NW-20251019-0007634 | Cust=C0000005 | Rep=REP00065 | Reason=Coverage / Service Availability | Signals(tone=frustrated, friction=0.35). Customer reports calls failing to connect and texts intermittently not sending. Customer notes issue has been ongoing and is frustrating. Service not confirmed restored; troubleshooting completed; customer advised to monitor. Actions: Created trouble ticket with documented reproduction details.; Collected timestamps + locations for pattern documentation.; Guided device network refresh (restart/airplane mode).; Verified account status and line provisioning (SIM/eSIM).. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2025-10-19T22:45:44,C0000005,REP00065,Availability,885,14.75,0,0,0,1,1,67.0,0,Coverage / Service Availability,Pending-Monitor,0.3526412279024486,0,0,1,1,51.13494212428575,0
NW-20260102-0018116,550,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2026-01-02T22:16:03] Interaction NW-20260102-0018116 | Cust=C0000005 | Rep=REP00137 | Reason=Coverage / Dropped Calls | Signals(tone=frustrated, friction=0.35). Customer reports service degradation: dropped calls, delayed texts, and slow data at home/work. Customer notes issue has been ongoing and is frustrating. Service not confirmed restored; troubleshooting completed; customer advised to monitor. Actions: Guided device network refresh (restart/airplane mode).; Reviewed device settings impacting calling/messaging (VoLTE, Wi-Fi calling).; Checked for known outages/maintenance impacting the customer area.; Created trouble ticket with documented reproduction details.. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2026-01-02T22:16:03,C0000005,REP00137,Speed,550,9.17,0,1,1,0,0,51.0,0,Coverage / Dropped Calls,Pending-Monitor,0.3950896482787213,0,0,1,1,49.287600114263356,0
NW-20260104-0019322,589,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2026-01-04T07:39:26] Interaction NW-20260104-0019322 | Cust=C0000005 | Rep=REP00064 | Reason=Number Spoofing | Signals(tone=frustrated, friction=0.35). Customer reports scam calls and requests call-blocking guidance and prevention. Customer notes issue has been ongoing and is frustrating. Protections/settings applied; effectiveness to be monitored. Actions: Advised blocking/reporting repeat offenders.; Explained number spoofing/scam call patterns.; Reviewed caller ID / call protection settings on line.. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2026-01-04T07:39:26,C0000005,REP00064,Telemarketing (including do not call and spoofing),589,9.82,0,0,0,1,1,67.0,0,Number Spoofing,Pending-Monitor,0.3687003736900818,1,0,0,0,51.00814940612268,1
NW-20260209-0015895,379,Escalated,1,0,0.3219,Created trouble ticket (NW-TKT-9876419); follow-up expected within 1-3 days; customer advised to restart device after updates.,"[2026-02-09T10:47:36] Interaction NW-20260209-0015895 | Cust=C0000005 | Rep=REP00216 | Reason=Number Spoofing | Signals(tone=frustrated, friction=0.322). Customer reports scam calls and requests call-blocking guidance and prevention. Customer notes issue has been ongoing and is frustrating. Issue not confirmed resolved; trouble ticket opened for follow-up. Trouble ticket created: NW-TKT-9876419. Actions: Explained number spoofing/scam call patterns.; Advised blocking/reporting repeat offenders.; Enabled scam call protection / call filtering settings.. Next: Created trouble ticket (NW-TKT-9876419); follow-up expected within 1-3 days; customer advised to restart device after updates.",2026-02-09T10:47:36,C0000005,REP00216,Telemarketing (including do not call and spoofing),379,6.32,0,0,0,1,1,58.51,0,Number Spoofing,Ticket-Created,0.2875283014846705,0,1,0,0,68.94461683600353,0
NW-20251013-0015482,541,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2025-10-13T15:46:56] Interaction NW-20251013-0015482 | Cust=C0000006 | Rep=REP00147 | Reason=Other: Equipment | Signals(tone=frustrated, friction=0.35). Customer requests help related to: Other: Equipment. Customer notes issue has been ongoing and is frustrating. Issue discussed; resolution not verified; customer advised to follow up if it persists. Actions: Reviewed request and provided guidance.. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2025-10-13T15:46:56,C0000006,REP00147,Equipment,541,9.02,0,1,1,0,0,51.0,0,Other: Equipment,Pending-Monitor,0.3647500313632999,0,0,0,0,58.57663352711057,0
NW-20251018-0005140,398,Resolved,0,1,0.2467,Resolution confirmed; customer advised on timing (bill/promo/setting) and to monitor for recurrence.,"[2025-10-18T02:12:10] Interaction NW-20251018-0005140 | Cust=C0000006 | Rep=REP00234 | Reason=Rural Call Completion | Signals(tone=calm, friction=0.247). Customer reports service degradation: dropped calls, delayed texts, and slow data at home/work. Resolved during interaction. Actions: Reviewed device settings impacting calling/messaging (VoLTE, Wi-Fi calling).; Collected timestamps + locations for pattern documentation.; Guided device network refresh (restart/airplane mode).; Created trouble ticket with documented reproduction details.. Next: Resolution confirmed; customer advised on timing (bill/promo/setting) and to monitor for recurrence.",2025-10-18T02:12:10,C0000006,REP00234,Availability (including rural call completion),398,6.63,0,0,0,1,1,81.9,0,Rural Call Completion,Resolved,0.20834469596684005,0,1,0,0,63.495837587200626,0
NW-20251231-0007842,616,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2025-12-31T00:46:26] Interaction NW-20251231-0007842 | Cust=C0000006 | Rep=REP00213 | Reason=Billing Dispute | Signals(tone=frustrated, friction=0.35). Customer reports promo/discount not reflecting and wants billing corrected. Customer notes issue has been ongoing and is frustrating. Billing adjustment not confirmed final; customer advised to monitor next cycle/statement. Actions: Reviewed bill line items and service charges.; Checked promo eligibility and effective dates.; Applied billing correction workflow where eligible.. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2025-12-31T00:46:26,C0000006,REP00213,Billing,616,10.27,0,0,0,1,1,67.0,0,Billing Dispute,Pending-Monitor,0.38513801205229087,1,0,0,1,41.901546167273246,1
NW-20260120-0001397,556,Resolved,0,1,0.4814,Resolution confirmed; customer advised on timing (bill/promo/setting) and to monitor for recurrence.,"[2026-01-20T12:43:31] Interaction NW-20260120-0001397 | Cust=C0000006 | Rep=REP00172 | Reason=Billing Dispute | Signals(tone=frustrated, friction=0.481). Customer questions a higher-than-expected bill and requests charge breakdown. Customer notes issue has been ongoing and is frustrating. Resolved during interaction. Actions: Explained proration/plan change timing if applicable.; Reviewed bill line items and service charges.; Confirmed discount prerequisites (autopay/paperless).. Next: Resolution confirmed; customer advised on timing (bill/promo/setting) and to monitor for recurrence.",2026-01-20T12:43:31,C0000006,REP00172,Billing,556,9.27,0,1,1,0,0,55.34,0,Billing Dispute,Resolved,0.4794029635605499,0,0,0,0,54.76574946956832,0
NW-20260126-0003791,422,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2026-01-26T08:18:56] Interaction NW-20260126-0003791 | Cust=C0000006 | Rep=REP00227 | Reason=Billing Dispute | Signals(tone=frustrated, friction=0.35). Customer reports promo/discount not reflecting and wants billing corrected. Customer notes issue has been ongoing and is frustrating. Billing adjustment not confirmed final; customer advised to monitor next cycle/statement. Actions: Reviewed bill line items and service charges.; Checked promo eligibility and effective dates.; Confirmed discount prerequisites (autopay/paperless).. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2026-01-26T08:18:56,C0000006,REP00227,Billing,422,7.03,0,0,0,1,1,67.0,0,Billing Dispute,Pending-Monitor,0.3426055054581896,1,1,0,0,56.153600070248906,1
NW-20251103-0015824,921,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2025-11-03T12:28:17] Interaction NW-20251103-0015824 | Cust=C0000007 | Rep=REP00035 | Reason=Coverage / Service Availability | Signals(tone=frustrated, friction=0.35). Customer reports calls failing to connect and texts intermittently not sending. Customer notes issue has been ongoing and is frustrating. Service not confirmed restored; troubleshooting completed; customer advised to monitor. Actions: Collected timestamps + locations for pattern documentation.; Verified account status and line provisioning (SIM/eSIM).; Reviewed device settings impacting calling/messaging (VoLTE, Wi-Fi calling).; Checked for known outages/maintenance impacting the customer area.. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2025-11-03T12:28:17,C0000007,REP00035,Availability,921,15.35,0,1,1,0,0,51.0,0,Coverage / Service Availability,Pending-Monitor,0.32276281822384234,0,1,0,0,69.76427544240673,0
NW-20251108-0005117,650,Escalated,1,0,0.6152,Trouble ticket created (NW-TKT-3609937); monitor 24-72h; customer advised to note any additional timestamps/locations.,"[2025-11-08T12:01:18] Interaction NW-20251108-0005117 | Cust=C0000007 | Rep=REP00101 | Reason=Rural Call Completion | Signals(tone=angry, friction=0.615). Customer reports dropped calls and inconsistent signal in primary location. Customer expresses high frustration and urgency. Service not confirmed restored; trouble ticket opened for network review. Trouble ticket created: NW-TKT-3609937. Actions: Created trouble ticket with documented reproduction details.; Reviewed device settings impacting calling/messaging (VoLTE, Wi-Fi calling).; Guided device network refresh (restart/airplane mode).; Checked for known outages/maintenance impacting the customer area.. Next: Trouble ticket created (NW-TKT-3609937); monitor 24-72h; customer advised to note any additional timestamps/locations.",2025-11-08T12:01:18,C0000007,REP00101,Availability (including rural call completion),650,10.83,1,0,0,1,1,42.82,0,Rural Call Completion,Ticket-Created,0.6641016535469612,1,0,1,1,46.83882746062367,1
NW-20260208-0009080,613,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2026-02-08T05:32:28] Interaction NW-20260208-0009080 | Cust=C0000007 | Rep=REP00156 | Reason=Number Spoofing | Signals(tone=frustrated, friction=0.35). Customer reports scam calls and requests call-blocking guidance and prevention. Customer notes issue has been ongoing and is frustrating. Protections/settings applied; effectiveness to be monitored. Actions: Advised blocking/reporting repeat offenders.; Reviewed caller ID / call protection settings on line.; Enabled scam call protection / call filtering settings.. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2026-02-08T05:32:28,C0000007,REP00156,Telemarketing (including do not call and spoofing),613,10.22,0,0,0,1,1,67.0,0,Number Spoofing,Pending-Monitor,0.3438188207172479,1,1,0,0,58.03656907978026,1
NW-20251020-0008725,413,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2025-10-20T12:57:33] Interaction NW-20251020-0008725 | Cust=C0000008 | Rep=REP00146 | Reason=Number Spoofing | Signals(tone=frustrated, friction=0.35). Customer reports scam calls and requests call-blocking guidance and prevention. Customer notes issue has been ongoing and is frustrating. Protections/settings applied; effectiveness to be monitored. Actions: Enabled scam call protection / call filtering settings.; Explained number spoofing/scam call patterns.; Reviewed caller ID / call protection settings on line.. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2025-10-20T12:57:33,C0000008,REP00146,Telemarketing (including do not call and spoofing),413,6.88,0,0,0,1,1,67.0,0,Number Spoofing,Pending-Monitor,0.3328668871134757,0,0,0,0,52.61184697909763,0
NW-20251103-0015782,915,Resolved,0,1,0.5931,Issue resolved during call; customer advised to monitor and call back if symptoms recur.,"[2025-11-03T01:13:05] Interaction NW-20251103-0015782 | Cust=C0000008 | Rep=REP00130 | Reason=Number Spoofing | Signals(tone=frustrated, friction=0.593). Customer reports number spoofing: others claim they received calls they did not place. Customer notes issue has been ongoing and is frustrating. Resolved during interaction. Actions: Reviewed caller ID / call protection settings on line.; Advised blocking/reporting repeat offenders.; Enabled scam call protection / call filtering settings.. Next: Issue resolved during call; customer advised to monitor and call back if symptoms recur.",2025-11-03T01:13:05,C0000008,REP00130,Telemarketing (including do not call and spoofing),915,15.25,0,0,0,1,1,66.31,0,Number Spoofing,Resolved,0.5790146579804708,1,0,1,1,42.819008664315255,1
NW-20251207-0013913,525,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2025-12-07T22:51:58] Interaction NW-20251207-0013913 | Cust=C0000008 | Rep=REP00055 | Reason=Number Spoofing | Signals(tone=frustrated, friction=0.35). Customer reports scam calls and requests call-blocking guidance and prevention. Customer notes issue has been ongoing and is frustrating. Protections/settings applied; effectiveness to be monitored. Actions: Advised blocking/reporting repeat offenders.; Enabled scam call protection / call filtering settings.; Explained number spoofing/scam call patterns.. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2025-12-07T22:51:58,C0000008,REP00055,Telemarketing (including do not call and spoofing),525,8.75,0,0,0,1,1,67.0,0,Number Spoofing,Pending-Monitor,0.37129236742213395,1,0,1,1,44.29812007528717,1
NW-20260131-0019396,752,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2026-01-31T05:57:04] Interaction NW-20260131-0019396 | Cust=C0000008 | Rep=REP00015 | Reason=Billing Dispute | Signals(tone=frustrated, friction=0.35). Customer reports promo/discount not reflecting and wants billing corrected. Customer notes issue has been ongoing and is frustrating. Billing adjustment not confirmed final; customer advised to monitor next cycle/statement. Actions: Checked promo eligibility and effective dates.; Confirmed discount prerequisites (autopay/paperless).; Explained proration/plan change timing if applicable.. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2026-01-31T05:57:04,C0000008,REP00015,Billing,752,12.53,0,0,0,1,1,67.0,0,Billing Dispute,Pending-Monitor,0.36461776257456313,1,0,1,1,48.375617565533915,1
NW-20251116-0006381,733,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2025-11-16T05:42:21] Interaction NW-20251116-0006381 | Cust=C0000010 | Rep=REP00244 | Reason=Number Spoofing | Signals(tone=frustrated, friction=0.35). Customer reports number spoofing: others claim they received calls they did not place. Customer notes issue has been ongoing and is frustrating. Protections/settings applied; effectiveness to be monitored. Actions: Explained number spoofing/scam call patterns.; Reviewed caller ID / call protection settings on line.; Advised blocking/reporting repeat offenders.. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2025-11-16T05:42:21,C0000010,REP00244,Telemarketing (including do not call and spoofing),733,12.22,0,0,0,1,1,67.0,0,Number Spoofing,Pending-Monitor,0.3665093044638395,0,1,0,0,65.02671881879519,0
NW-20260202-0017677,659,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2026-02-02T16:49:27] Interaction NW-20260202-0017677 | Cust=C0000012 | Rep=REP00081 | Reason=Coverage / Service Availability | Signals(tone=frustrated, friction=0.35). Customer reports service degradation: dropped calls, delayed texts, and slow data at home/work. Customer notes issue has been ongoing and is frustrating. Service not confirmed restored; troubleshooting completed; customer advised to monitor. Actions: Reviewed device settings impacting calling/messaging (VoLTE, Wi-Fi calling).; Guided device network refresh (restart/airplane mode).; Collected timestamps + locations for pattern documentation.; Checked for known outages/maintenance impacting the customer area.. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2026-02-02T16:49:27,C0000012,REP00081,Availability,659,10.98,0,0,0,1,1,67.0,0,Coverage / Service Availability,Pending-Monitor,0.36723284012031526,0,1,0,0,63.77429098952474,0
NW-20251124-0011529,564,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2025-11-24T00:14:01] Interaction NW-20251124-0011529 | Cust=C0000013 | Rep=REP00123 | Reason=Other: Number Portability (keeping your number if you change providers) | Signals(tone=frustrated, friction=0.35). Customer requests help related to: Other: Number Portability (keeping your number if you change providers). Customer notes issue has been ongoing and is frustrating. Issue discussed; resolution not verified; customer advised to follow up if it persists. Actions: Reviewed request and provided guidance.. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2025-11-24T00:14:01,C0000013,REP00123,Number Portability (keeping your number if you change providers),564,9.4,0,0,1,1,0,61.0,0,Other: Number Portability (keeping your number if you change providers),Pending-Monitor,0.4356659040348184,1,0,1,1,45.11896354280202,1
NW-20251210-0015555,672,,0,0,,Troubleshooting completed; customer advised to monitor and call back if issue persists.,"[2025-12-10T08:50:16] Interaction NW-20251210-0015555 | Cust=C0000013 | Rep=REP00098 | Reason=Billing Dispute | Signals(tone=frustrated, friction=0.35). Customer questions a higher-than-expected bill and requests charge breakdown. Customer notes issue has been ongoing and is frustrating. Billing adjustment not confirmed final; customer advised to monitor next cycle/statement. Actions: Explained proration/plan change timing if applicable.; Confirmed discount prerequisites (autopay/paperless).; Applied billing correction workflow where eligible.. Next: Troubleshooting completed; customer advised to monitor and call back if issue persists.",2025-12-10T08:50:16,C0000013,REP00098,Billing,672,11.2,0,0,1,1,0,61.0,0,Billing Dispute,Pending-Monitor,0.33374339934461533,0,1,0,0,59.50196561335866,0
NW-20251217-0018184,595,Resolved,0,1,0.3856,Issue resolved during call; customer advised to monitor and call back if symptoms recur.,"[2025-12-17T12:08:52] Interaction NW-20251217-0018184 | Cust=C0000013 | Rep=REP00039 | Reason=Scam Calls | Signals(tone=frustrated, friction=0.386). Customer reports number spoofing: others claim they received calls they did not place. Customer notes issue has been ongoing and is frustrating. Resolved during interaction. Actions: Reviewed caller ID / call protection settings on line.; Explained number spoofing/scam call patterns.; Enabled scam call protection / call filtering settings.. Next: Issue resolved during call; customer advised to monitor and call back if symptoms recur.",2025-12-17T12:08:52,C0000013,REP00039,Robocalls,595,9.92,0,0,0,1,1,75.65,0,Scam Calls,Resolved,0.36511029083713853,0,0,0,0,59.23281912928579,0
